Date,Clicks,Impressions,CTR,Position
2025-03-27,1,245,0.41%,22.5
2025-03-28,2,293,0.68%,19.9
2025-03-29,0,250,0%,25.3
2025-03-30,1,239,0.42%,22.9
2025-03-31,2,354,0.56%,20.9
2025-04-01,0,330,0%,19.3
2025-04-02,3,270,1.11%,20.6
2025-04-03,4,278,1.44%,21.8
2025-04-04,2,261,0.77%,21.6
2025-04-05,0,245,0%,24.6
2025-04-06,1,233,0.43%,25.5
2025-04-07,2,360,0.56%,20.9
2025-04-08,2,335,0.6%,21.4
2025-04-09,3,257,1.17%,21.4
2025-04-10,0,257,0%,23.1
2025-04-11,3,252,1.19%,18.8
2025-04-12,2,264,0.76%,25.5
2025-04-13,1,206,0.49%,22.3
2025-04-14,1,355,0.28%,24.5
2025-04-15,1,319,0.31%,20.9
2025-04-16,2,228,0.88%,19.4
2025-04-17,2,265,0.75%,21.6
2025-04-18,2,337,0.59%,18.8
2025-04-19,1,241,0.41%,19.9
2025-04-20,2,246,0.81%,22.9
2025-04-21,5,446,1.12%,21.1
2025-04-22,2,314,0.64%,22.3
2025-04-23,4,342,1.17%,20.5
2025-04-24,9,368,2.45%,22.7
2025-04-25,2,365,0.55%,20.2
2025-04-26,1,262,0.38%,20.6
2025-04-27,1,238,0.42%,22.2
2025-04-28,1,398,0.25%,21.5
2025-04-29,2,297,0.67%,19.2
2025-04-30,0,357,0%,21.4
2025-05-01,2,286,0.7%,22.6
2025-05-02,1,412,0.24%,19
2025-05-03,0,281,0%,22.1
2025-05-04,1,258,0.39%,20.1
2025-05-05,3,459,0.65%,21.9
2025-05-06,4,316,1.27%,22.3
2025-05-07,5,327,1.53%,20.2
2025-05-08,6,332,1.81%,20.1
2025-05-09,3,413,0.73%,22.1
2025-05-10,0,225,0%,25.5
2025-05-11,1,222,0.45%,26.3
2025-05-12,4,385,1.04%,26.6
2025-05-13,4,305,1.31%,28.1
2025-05-14,1,278,0.36%,24
2025-05-15,0,269,0%,24.2
2025-05-16,1,421,0.24%,21.1
2025-05-17,2,249,0.8%,25.3
2025-05-18,0,217,0%,28.2
2025-05-19,2,344,0.58%,25.9
2025-05-20,0,374,0%,25.8
2025-05-21,2,323,0.62%,27.3
2025-05-22,3,307,0.98%,25.3
2025-05-23,2,263,0.76%,26.2
2025-05-24,2,251,0.8%,27.8
2025-05-25,0,244,0%,27.6
2025-05-26,3,441,0.68%,24.4
2025-05-27,3,327,0.92%,23.1
2025-05-28,2,313,0.64%,22.5
2025-05-29,2,276,0.72%,23.5
2025-05-30,0,352,0%,22.7
2025-05-31,0,257,0%,26.2
2025-06-01,0,287,0%,25.1
2025-06-02,4,373,1.07%,24
2025-06-03,4,297,1.35%,28.4
2025-06-04,2,217,0.92%,24.2
2025-06-05,1,312,0.32%,22.3
2025-06-06,2,330,0.61%,22.3
2025-06-07,0,296,0%,24.6
2025-06-08,1,266,0.38%,25.6
2025-06-09,0,354,0%,28.9
2025-06-10,1,273,0.37%,22.7
2025-06-11,0,240,0%,25.1
2025-06-12,2,284,0.7%,25.2
2025-06-13,0,435,0%,23.4
2025-06-14,0,229,0%,29.3
2025-06-15,0,218,0%,29.4
2025-06-16,2,399,0.5%,28.4
2025-06-17,1,289,0.35%,28.2
2025-06-18,2,305,0.66%,33.1
2025-06-19,3,305,0.98%,31.6
2025-06-20,0,402,0%,27.6
2025-06-21,0,323,0%,31.2
2025-06-22,1,210,0.48%,32.7
2025-06-23,2,341,0.59%,31.1
2025-06-24,1,330,0.3%,31.4
2025-06-25,1,285,0.35%,33.8
2025-06-26,2,315,0.63%,26.3
2025-06-27,3,419,0.72%,23.7
2025-06-28,0,313,0%,25.2
2025-06-29,1,252,0.4%,32.7
2025-06-30,2,307,0.65%,30.5
2025-07-01,1,296,0.34%,29.6
2025-07-02,1,299,0.33%,27.9
2025-07-03,0,240,0%,31.9
2025-07-04,1,299,0.33%,24.9
2025-07-05,0,337,0%,27.4
2025-07-06,0,206,0%,28.3
2025-07-07,1,332,0.3%,31.3
2025-07-08,4,297,1.35%,28.2
2025-07-09,0,274,0%,30.4
2025-07-10,0,273,0%,28
2025-07-11,1,282,0.35%,28.7
2025-07-12,0,322,0%,27.3
2025-07-13,1,317,0.32%,28.1
2025-07-14,2,353,0.57%,27.6
2025-07-15,2,301,0.66%,31.2
2025-07-16,2,272,0.74%,32
2025-07-17,2,293,0.68%,27.7
2025-07-18,3,388,0.77%,25.8
2025-07-19,1,308,0.32%,30.8
2025-07-20,1,310,0.32%,28
2025-07-21,3,380,0.79%,31.1
2025-07-22,1,272,0.37%,29.9
2025-07-23,3,259,1.16%,32.7
2025-07-24,2,271,0.74%,29.1
2025-07-25,0,338,0%,27.6
2025-07-26,0,300,0%,27.3
2025-07-27,0,259,0%,30.6
2025-07-28,1,341,0.29%,30.2
2025-07-29,5,281,1.78%,29.2
2025-07-30,6,306,1.96%,27.7
2025-07-31,5,298,1.68%,26.5
2025-08-01,1,447,0.22%,23.2
2025-08-02,0,287,0%,27.5
2025-08-03,2,240,0.83%,31.5
2025-08-04,1,388,0.26%,28.7
2025-08-05,3,299,1%,28.8
2025-08-06,1,257,0.39%,30.8
2025-08-07,5,263,1.9%,24.9
2025-08-08,4,394,1.02%,24.9
2025-08-09,1,267,0.37%,27.3
2025-08-10,0,219,0%,29.4
2025-08-11,1,322,0.31%,29.8
2025-08-12,7,268,2.61%,29.5
2025-08-13,2,246,0.81%,28.6
2025-08-14,2,243,0.82%,24.1
2025-08-15,1,414,0.24%,21.7
2025-08-16,0,266,0%,25.1
2025-08-17,1,210,0.48%,30
2025-08-18,1,312,0.32%,28
2025-08-19,2,263,0.76%,26.4
2025-08-20,1,286,0.35%,26.1
2025-08-21,0,276,0%,25.9
2025-08-22,0,388,0%,26.9
2025-08-23,0,469,0%,25.6
2025-08-24,1,244,0.41%,31.3
2025-08-25,1,354,0.28%,27.7
2025-08-26,2,262,0.76%,29.8
2025-08-27,2,280,0.71%,34.5
2025-08-28,3,293,1.02%,27.8
2025-08-29,1,417,0.24%,27.3
2025-08-30,2,270,0.74%,29.3
2025-08-31,2,235,0.85%,33.4
2025-09-01,0,282,0%,33.6
2025-09-02,3,284,1.06%,32.7
2025-09-03,1,264,0.38%,33.4
2025-09-04,1,234,0.43%,27.3
2025-09-05,0,364,0%,26.6
2025-09-06,0,235,0%,31
2025-09-07,1,211,0.47%,33.9
2025-09-08,0,313,0%,34
2025-09-09,3,254,1.18%,29.5
2025-09-10,2,202,0.99%,26.9
2025-09-11,1,156,0.64%,29.1
2025-09-12,3,242,1.24%,18.1
2025-09-13,0,112,0%,14.6
2025-09-14,2,110,1.82%,20.1
2025-09-15,5,234,2.14%,19.9
2025-09-16,3,150,2%,16.3
2025-09-17,2,218,0.92%,20.5
2025-09-18,5,153,3.27%,13
2025-09-19,3,190,1.58%,21.3
2025-09-20,1,172,0.58%,22.7
2025-09-21,0,99,0%,21.3
2025-09-22,1,240,0.42%,22.1
2025-09-23,1,152,0.66%,19.5
2025-09-24,1,165,0.61%,23.5
2025-09-25,5,163,3.07%,16.7
2025-09-26,1,165,0.61%,25.4
2025-09-27,1,191,0.52%,21.3
2025-09-28,0,162,0%,19.8
2025-09-29,3,257,1.17%,21.5
2025-09-30,0,268,0%,23.1
2025-10-01,1,204,0.49%,19.3
2025-10-02,2,172,1.16%,21.3
2025-10-03,1,183,0.55%,21
2025-10-04,1,155,0.65%,20.9
2025-10-05,2,168,1.19%,19.8
2025-10-06,0,247,0%,22.5
2025-10-07,2,151,1.32%,18
2025-10-08,6,213,2.82%,23
2025-10-09,4,182,2.2%,18.8
2025-10-10,5,155,3.23%,21.1
2025-10-11,0,157,0%,21.8
2025-10-12,1,164,0.61%,20.2
2025-10-13,3,315,0.95%,22.1
2025-10-14,3,190,1.58%,17.9
2025-10-15,0,180,0%,23.4
2025-10-16,0,161,0%,18.1
2025-10-17,6,176,3.41%,19.1
2025-10-18,1,187,0.53%,19.9
2025-10-19,0,242,0%,20.5
2025-10-20,1,256,0.39%,21.3
2025-10-21,7,192,3.65%,16.6
2025-10-22,6,239,2.51%,21.3
2025-10-23,0,195,0%,16.1
2025-10-24,2,227,0.88%,16.5
2025-10-25,0,214,0%,18.3
2025-10-26,0,172,0%,23
2025-10-27,3,291,1.03%,24.3
2025-10-28,0,195,0%,17.7
2025-10-29,1,218,0.46%,18.9
2025-10-30,2,180,1.11%,18.9
2025-10-31,2,237,0.84%,15.5
2025-11-01,0,169,0%,19
2025-11-02,1,166,0.6%,23
2025-11-03,1,231,0.43%,20
2025-11-04,1,166,0.6%,17.6
2025-11-05,4,222,1.8%,19
2025-11-06,2,183,1.09%,16.6
2025-11-07,0,257,0%,15.5
2025-11-08,0,157,0%,18.5
2025-11-09,1,172,0.58%,22.8
2025-11-10,1,235,0.43%,17.8
2025-11-11,0,219,0%,17.2
2025-11-12,3,220,1.36%,22.7
2025-11-13,7,206,3.4%,20
2025-11-14,0,450,0%,14
2025-11-15,0,205,0%,16.9
2025-11-16,0,178,0%,21.7
2025-11-17,1,218,0.46%,21.1
2025-11-18,2,185,1.08%,17.8
2025-11-19,2,250,0.8%,24
2025-11-20,0,240,0%,21.8
2025-11-21,4,238,1.68%,16.3
2025-11-22,0,205,0%,29.9
2025-11-23,0,221,0%,26.3
2025-11-24,0,232,0%,21.2
2025-11-25,6,207,2.9%,19.4
2025-11-26,1,203,0.49%,25.5
2025-11-27,1,294,0.34%,31.2
2025-11-28,2,211,0.95%,17.7
2025-11-29,0,223,0%,20.6
2025-11-30,0,197,0%,25.7
2025-12-01,2,248,0.81%,23.2
2025-12-02,1,179,0.56%,19.1
2025-12-03,4,221,1.81%,23.4
2025-12-04,3,191,1.57%,21.9
2025-12-05,1,579,0.17%,33.4
2025-12-06,1,160,0.62%,21.8
2025-12-07,2,169,1.18%,23.7
2025-12-08,1,252,0.4%,19
2025-12-09,2,302,0.66%,22.5
2025-12-10,3,199,1.51%,20
2025-12-11,0,219,0%,19.4
2025-12-12,2,595,0.34%,33.1
2025-12-13,0,236,0%,14.2
2025-12-14,1,250,0.4%,21.3
2025-12-15,3,319,0.94%,17.7
2025-12-16,5,316,1.58%,16.1
2025-12-17,0,361,0%,23.3
2025-12-18,1,360,0.28%,15
2025-12-19,1,697,0.14%,24
2025-12-20,2,420,0.48%,15.2
2025-12-21,4,344,1.16%,18
2025-12-22,1,478,0.21%,18.4
2025-12-23,2,344,0.58%,11.8
2025-12-24,4,284,1.41%,19.6
2025-12-25,3,281,1.07%,20.4
2025-12-26,2,568,0.35%,28.2
2025-12-27,2,306,0.65%,16.3
2025-12-28,1,267,0.37%,18.2
2025-12-29,3,480,0.62%,19.8
2025-12-30,1,266,0.38%,15
2025-12-31,0,285,0%,20.2
2026-01-01,2,281,0.71%,19.1
2026-01-02,5,408,1.23%,24.1
2026-01-03,3,393,0.76%,25
2026-01-04,4,255,1.57%,17.9
2026-01-05,3,326,0.92%,18.2
