Country,Clicks,Impressions,CTR,Position
United States,909,113285,0.8%,20.41
United Kingdom,14,3416,0.41%,19.55
India,13,3117,0.42%,35.95
Pakistan,12,330,3.64%,18.19
Canada,8,1291,0.62%,19.14
Philippines,7,547,1.28%,15.25
Australia,5,576,0.87%,17.62
Mexico,3,458,0.66%,20.95
Indonesia,2,330,0.61%,18.33
Turkey,2,285,0.7%,25.07
Ireland,2,250,0.8%,16.94
Netherlands,2,172,1.16%,21.42
Egypt,2,136,1.47%,20.79
New Zealand,2,99,2.02%,11.35
Jamaica,2,73,2.74%,20.4
Belgium,2,55,3.64%,16.4
Brazil,1,2841,0.04%,25.96
France,1,549,0.18%,22.58
Germany,1,527,0.19%,21.92
Bangladesh,1,286,0.35%,20.51
South Africa,1,243,0.41%,13.67
Saudi Arabia,1,177,0.56%,20.72
Colombia,1,147,0.68%,22.29
United Arab Emirates,1,126,0.79%,32.04
Thailand,1,117,0.85%,18.91
Uzbekistan,1,79,1.27%,22.11
Greece,1,64,1.56%,22.98
Finland,1,51,1.96%,16.27
Iran,1,50,2%,16.64
Czechia,1,45,2.22%,21.73
Barbados,1,42,2.38%,27.1
Denmark,1,33,3.03%,19.06
Bolivia,1,29,3.45%,19.93
Italy,0,2130,0%,24.19
Russia,0,651,0%,27.87
Vietnam,0,609,0%,29.77
South Korea,0,460,0%,23.9
Lithuania,0,385,0%,27.44
Argentina,0,303,0%,26.52
Malaysia,0,258,0%,16.5
Spain,0,228,0%,19.31
Ukraine,0,151,0%,27.5
Poland,0,149,0%,18
Ecuador,0,147,0%,25.11
Japan,0,144,0%,17.28
Nigeria,0,132,0%,8.91
Iraq,0,121,0%,21.18
Singapore,0,112,0%,12.56
Venezuela,0,105,0%,21.94
Taiwan,0,105,0%,26.28
Latvia,0,100,0%,28.44
Chile,0,95,0%,22.8
Morocco,0,91,0%,20.66
Kenya,0,83,0%,15.99
Trinidad & Tobago,0,80,0%,21.25
Romania,0,77,0%,23.7
Peru,0,74,0%,24.49
Dominican Republic,0,74,0%,27.89
Kazakhstan,0,70,0%,23.14
Sweden,0,69,0%,15.19
Algeria,0,69,0%,26.29
Paraguay,0,69,0%,27.43
China,0,60,0%,8
Israel,0,59,0%,20.61
Nepal,0,59,0%,23.76
Jordan,0,56,0%,18
Hong Kong,0,51,0%,9.65
Tunisia,0,48,0%,25.4
Bulgaria,0,48,0%,27.98
Serbia,0,45,0%,16.36
Portugal,0,45,0%,17.07
Uruguay,0,44,0%,28.05
Uganda,0,43,0%,8.33
Unknown Region,0,43,0%,20.28
Switzerland,0,38,0%,25.66
Ghana,0,37,0%,9.16
Puerto Rico,0,35,0%,11.49
Guatemala,0,34,0%,21.59
Hungary,0,34,0%,22.35
Austria,0,33,0%,18.94
Norway,0,33,0%,19.15
Lebanon,0,32,0%,12.66
Honduras,0,29,0%,22.24
Guyana,0,28,0%,22.61
Azerbaijan,0,28,0%,30
Syria,0,27,0%,11.7
Bahamas,0,27,0%,18.74
Ethiopia,0,27,0%,20.78
Costa Rica,0,26,0%,26.62
Croatia,0,24,0%,13.5
Albania,0,24,0%,16.46
Belarus,0,24,0%,21.17
Moldova,0,24,0%,28.42
Georgia,0,24,0%,29.17
Sri Lanka,0,23,0%,13.09
Panama,0,23,0%,27.91
Cyprus,0,21,0%,21.29
Oman,0,21,0%,22.14
Qatar,0,20,0%,10.5
Belize,0,20,0%,21.3
El Salvador,0,19,0%,16.16
Myanmar (Burma),0,18,0%,17.44
Kuwait,0,17,0%,14.29
Bosnia & Herzegovina,0,17,0%,20.12
Malta,0,16,0%,10
Palestine,0,16,0%,13.81
Slovakia,0,16,0%,29.94
Kyrgyzstan,0,15,0%,23.47
Senegal,0,15,0%,30.13
Bahrain,0,14,0%,15.07
Slovenia,0,13,0%,10.92
Tanzania,0,12,0%,11.92
Cambodia,0,12,0%,25.42
Estonia,0,11,0%,10.36
Mauritius,0,11,0%,12.55
Nicaragua,0,11,0%,21.27
Cameroon,0,10,0%,5.4
Zimbabwe,0,10,0%,8.4
Macedonia,0,10,0%,10.7
Zambia,0,10,0%,16.5
Libya,0,10,0%,30.7
Grenada,0,9,0%,32.11
Burkina Faso,0,9,0%,54.67
Botswana,0,8,0%,12.25
Armenia,0,8,0%,14
Angola,0,8,0%,24.5
Suriname,0,8,0%,31.75
Namibia,0,7,0%,5.29
Somalia,0,7,0%,5.71
Mongolia,0,7,0%,10.43
Gabon,0,7,0%,12.57
Côte d’Ivoire,0,7,0%,22.86
Seychelles,0,7,0%,24.57
Togo,0,7,0%,52.29
Liberia,0,6,0%,7
Kosovo,0,6,0%,8.5
Sint Maarten,0,6,0%,15.83
St. Vincent & Grenadines,0,6,0%,30
St. Lucia,0,6,0%,31.83
Iceland,0,5,0%,6.8
Yemen,0,5,0%,8
Maldives,0,5,0%,9.8
St. Kitts & Nevis,0,5,0%,13.2
Cayman Islands,0,5,0%,26.8
Isle of Man,0,5,0%,46.4
Luxembourg,0,5,0%,48.6
Swaziland,0,4,0%,6
Rwanda,0,4,0%,6.75
Brunei,0,4,0%,10.25
Sierra Leone,0,4,0%,12.75
Mozambique,0,4,0%,23.75
British Virgin Islands,0,4,0%,45.25
Fiji,0,3,0%,2.67
Malawi,0,3,0%,4
U.S. Virgin Islands,0,3,0%,4.33
Anguilla,0,3,0%,5.33
Sudan,0,3,0%,9.33
Réunion,0,3,0%,10.33
Congo - Brazzaville,0,3,0%,13.33
Aruba,0,3,0%,16.33
Benin,0,3,0%,17.33
Papua New Guinea,0,3,0%,22.33
Dominica,0,3,0%,81.67
Jersey,0,2,0%,4.5
Turks & Caicos Islands,0,2,0%,6
Macau,0,2,0%,9
South Sudan,0,2,0%,9.5
Curaçao,0,2,0%,12.5
Cape Verde,0,2,0%,16
Antigua & Barbuda,0,1,0%,1
Guernsey,0,1,0%,1
Lesotho,0,1,0%,1
Nauru,0,1,0%,1
Bermuda,0,1,0%,3
Haiti,0,1,0%,5
Gambia,0,1,0%,6
Turkmenistan,0,1,0%,6
Afghanistan,0,1,0%,8
Caribbean Netherlands,0,1,0%,8
Northern Mariana Islands,0,1,0%,9
Djibouti,0,1,0%,10
Madagascar,0,1,0%,11
Martinique,0,1,0%,11
Antarctica,0,1,0%,12
Guam,0,1,0%,12
Marshall Islands,0,1,0%,12
Mali,0,1,0%,15
French Guiana,0,1,0%,17
Mauritania,0,1,0%,17
Andorra,0,1,0%,18
Western Sahara,0,1,0%,21
Tajikistan,0,1,0%,21
Montenegro,0,1,0%,67
